,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 1),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 1),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
2LLY'1' (Label: 1),0.4254753149205852,0.41299771969829835,0.31731946144430834,0.21131254532269766,0.3918323288657012,0.4118629173989455,0.3807201135154309,0.376161133081946,0.3307265887942981,0.31731946144430834,0.0,0.5745246850794147,0.22008773256693379,0.22008773256693379,0.3933016924867913,0.4002078102000173,0.3893828451882844,0.3947345171834967,0.18064588472751725,0.3814868019393069,0.3881745744295545,0.2049707602339181,0.16821477118260067,0.10122656139856184,0.1614570810290934,0.3911474832805349,0.3870797858334064,0.12119743061447079,0.34195821185617103,0.1697709923664123,0.21165555233400982,0.2116555523340098,0.4239050648397358,0.3421429851281131,0.19077380952380946,0.18775205377147133,0.21131254532269766,0.17229832572298334,0.3660536993870326,0.2116555523340098,0.1831155175003755,0.3514808362369338,0.34638671874999993,0.1167911408704609,0.1167911408704609,0.1167911408704609,0.1167911408704609,0.1167911408704609,0.34638671874999993,0.19101457899434693,0.3542068699343882,0.16442876649977237,0.1937731653076352,0.1799125320464486,0.17898699520876102,0.2184535786145444
2N2A'1' (Label: 0),1.0,1.0,1.0,0.8536620739666426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.93934351837846,0.93934351837846,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.868567251461988,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.951297709923664,0.852855900260945,0.8528559002609449,0.5637386836310251,1.0,0.9019345238095237,0.9090365944734876,0.8536620739666426,0.9453576864535771,1.0,0.8528559002609449,0.9199339041610334,0.8556910569105692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9013686402856292,1.0,1.0,0.8948851000741288,0.9274619212788419,1.0,0.8368784133371656
3PP0'1' (Label: 0),0.5172521711916127,0.45535870899842135,0.36658506731946144,0.1743292240754168,0.4449941530988576,0.4578207381370827,0.4528201489890032,0.4325393175756461,0.3892298554741636,0.36658506731946144,0.19814789595533158,0.4858774743760269,0.0,0.0,0.4474791797259783,0.4657546107888129,0.4621687587168759,0.4548988426539447,0.3081408387530837,0.4460405817920632,0.4413256066642521,0.1741228070175438,0.301087449025827,0.13012829550260813,0.2582351526809329,0.4570573741640267,0.458439392609497,0.252211853108714,0.30758017492711365,0.1412213740458014,0.17149898521310508,0.17961728037112187,0.36481526792268154,0.4472316789105895,0.14866071428571412,0.1445855115758027,0.1743292240754168,0.139269406392694,0.467322800656134,0.17961728037112187,0.15863001351960326,0.4927409988385598,0.3951171875,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.3951171875,0.13939303778637288,0.40081049787726747,0.29790623577605835,0.16871756856931042,0.14567938470818867,0.29614419347478893,0.19129060074734114
3RCD'1' (Label: 0),0.5172521711916127,0.45535870899842135,0.36658506731946144,0.1743292240754168,0.4449941530988576,0.4578207381370827,0.4528201489890032,0.4325393175756461,0.3892298554741636,0.36658506731946144,0.19814789595533158,0.4858774743760269,0.0,0.0,0.4474791797259783,0.4657546107888129,0.4621687587168759,0.4548988426539447,0.3081408387530837,0.4460405817920632,0.4413256066642521,0.1741228070175438,0.301087449025827,0.13012829550260813,0.2582351526809329,0.4570573741640267,0.458439392609497,0.252211853108714,0.30758017492711365,0.1412213740458014,0.17149898521310508,0.17961728037112187,0.36481526792268154,0.4472316789105895,0.14866071428571412,0.1445855115758027,0.1743292240754168,0.139269406392694,0.467322800656134,0.17961728037112187,0.15863001351960326,0.4927409988385598,0.3951171875,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.2055112026783415,0.3951171875,0.13939303778637288,0.40081049787726747,0.29790623577605835,0.16871756856931042,0.14567938470818867,0.29614419347478893,0.19129060074734114
4CNR'1' (Label: 1),0.1262811986542524,0.19970180670057883,0.25326397388820887,0.8474256707759248,0.0044976162633803,0.0259226713532513,0.0556048244058176,0.0297985836475673,0.1903583448822016,0.25326397388820887,0.5981206591311451,0.8737188013457475,0.7558614430494627,0.7558614430494627,0.0,0.0330764568360897,0.0265864714086471,0.0134287481226257,0.39773491814308143,0.0263063386604417,0.0344983701557406,0.8385964912280699,0.41198459447213415,0.64373325814183,0.4473431113248377,0.0173354452657515,0.0198367418590363,0.4506120470246031,0.5525996112730808,0.8299236641221374,0.8324151928095099,0.8324151928095098,0.9612184976755566,0.1414621035656691,0.831547619047619,0.8312173263629573,0.8474256707759248,0.8286149162861493,0.129672796339463,0.8324151928095098,0.8314556106354214,0.9539779326364695,0.09287109374999986,0.5690187998969867,0.5690187998969867,0.5690187998969867,0.5690187998969867,0.5690187998969867,0.09287109374999986,0.8083903600119011,0.0956194519490543,0.36242603550295865,0.8339510748702741,0.8310963655557231,0.37611225188227243,0.8430583501006035
4CNV'1' (Label: 1),0.0963930834832955,0.2063673039817575,0.2922276621787026,0.8807831762146484,0.0388594045156066,0.0290861159929701,0.0488648456899609,0.0621723535362825,0.1828350821619481,0.2922276621787026,0.62944300694539,0.9036069165167043,0.8136439267886854,0.8136439267886854,0.0342079340915196,0.0,0.0135111576011157,0.0203198162381835,0.42352545413769904,0.0369007003052612,0.0622057225642882,0.872222222222222,0.4380380607159039,0.676159593965882,0.47499398893964884,0.0162794790566701,0.0208900201878346,0.4784874560659314,0.5433673469387755,0.8650381679389313,0.865758190779936,0.865758190779936,0.989356496207487,0.1552589141730872,0.8657738095238092,0.8655713218820015,0.8807831762146484,0.8636225266362254,0.1231114564447897,0.865758190779936,0.8660057082770015,0.9873693379790942,0.13017578124999984,0.5986350759721866,0.5986350759721866,0.5986350759721866,0.5986350759721866,0.5986350759721866,0.13017578124999984,0.842606367152633,0.13228483211115388,0.38859808830223025,0.868050407709414,0.865781933343387,0.40234998859228854,0.8761138258120148
4CNW'1' (Label: 1),0.1024176512010015,0.21312050517453077,0.2843737250101999,0.8583031182015954,0.0319330754700008,0.0358523725834797,0.043987229514012,0.055090591373126,0.175212829142744,0.2843737250101999,0.6083344682010075,0.8975823487989983,0.8019966722129782,0.8019966722129782,0.0273126175338049,0.0134210754177851,0.0,0.0135170951497481,0.4061448755326306,0.0299874304183874,0.0552336110105034,0.8495614035087717,0.4204802899864068,0.654307063301847,0.45635970185140656,0.0095036958817317,0.0092161853769858,0.45970185432068844,0.5340136054421769,0.8413740458015267,0.8432879095389966,0.8432879095389967,0.970393931979447,0.1413725138864002,0.8427083333333333,0.8424197162061239,0.8583031182015954,0.8400304414003044,0.1164637831304497,0.8432879095389967,0.8427219468228931,0.9648664343786295,0.12265624999999988,0.5786762812258561,0.5786762812258561,0.5786762812258561,0.5786762812258561,0.5786762812258561,0.12265624999999988,0.8195477536447482,0.12485526823620213,0.37096040054619933,0.845070422535211,0.842406876790831,0.3846680355920602,0.8538373095717159
4CNX'1' (Label: 1),0.1143885454972224,0.2063673039817575,0.26876784985720115,0.8584481508339378,0.0181703697040568,0.0290861159929701,0.0488648456899609,0.0430423986020417,0.1828350821619481,0.26876784985720115,0.6084706523219391,0.8856114545027775,0.7788534261080017,0.7788534261080017,0.0136115339840602,0.0199151441683262,0.0133368200836819,0.0,0.40625700829782463,0.0196624169509786,0.0482614994567185,0.8497076023391811,0.42059356592659725,0.6544480473706471,0.45647992305842744,0.0058958113340372,0.0140437110506451,0.459823051751303,0.5433673469387754,0.8415267175572521,0.8434328790953898,0.8434328790953899,0.9705162711034989,0.1482709191901093,0.8428571428571426,0.8425690814040327,0.8584481508339378,0.8401826484018268,0.1231114564447897,0.8434328790953899,0.8428721646387262,0.9650116144018586,0.10771484374999996,0.5788050476435747,0.5788050476435747,0.5788050476435747,0.5788050476435747,0.5788050476435747,0.10771484374999996,0.8196965188931863,0.1102856040138942,0.37107419208010917,0.845218680504077,0.8425576836072992,0.38478211270819085,0.8539810290313308
4GFU'1' (Label: 0),0.3022455206947813,0.43290650763024024,0.3155854753161975,0.4397389412617839,0.3158226140145722,0.337609841827768,0.3057821922667612,0.298445691161593,0.243516135418729,0.3155854753161975,0.2193926188206453,0.6977544793052186,0.4156708516109513,0.4156708516109513,0.317632309483299,0.3270413022772535,0.3157252440725244,0.3200812792649527,0.0,0.3056203986353026,0.3116624411445129,0.4352339181286549,0.04417761667421837,0.25729592556041175,0.0721327242125509,0.3167898627243928,0.3129114368471869,0.08083868621985209,0.229591836734694,0.4102290076335878,0.4399826036532328,0.4399826036532327,0.5272816246635674,0.2010392402795198,0.42514880952380946,0.42300224047796847,0.4397389412617839,0.4120243531202436,0.2300785634118967,0.4399826036532327,0.41970857743728407,0.47938443670151004,0.26386718749999993,0.14833891321143441,0.14833891321143441,0.14833891321143441,0.14833891321143441,0.14833891321143441,0.26386718749999993,0.4253198452841414,0.28270937861829404,0.08033682294037321,0.4272794662713119,0.4174332679837128,0.04585900068446262,0.4448117275079044
4JJQ'1' (Label: 0),0.128550191690791,0.22539905279775477,0.25030599755201954,0.8266860043509789,0.0261761266528739,0.0481546572934973,0.0335225257183398,0.0429504276648578,0.1613541872896457,0.25030599755201954,0.5786463298379408,0.8714498083092089,0.7514748147027679,0.7514748147027679,0.0262380227455896,0.0355874967529656,0.0291143654114365,0.0193479989398357,0.38169993272034086,0.0,0.0516117348786671,0.8176900584795318,0.3957861350249206,0.6235725363033978,0.4301514787208461,0.0198873636043646,0.0246642675326954,0.43328081444673383,0.5170068027210885,0.8080916030534351,0.8116845462452883,0.8116845462452885,0.9437240029361389,0.1447769216986202,0.8102678571428571,0.8098581030619865,0.8266860043509789,0.8068493150684933,0.1043771043771043,0.8116845462452885,0.8099744629713083,0.9332171893147505,0.09335937499999984,0.5506052021632758,0.5506052021632758,0.5506052021632758,0.5506052021632758,0.5506052021632758,0.09335937499999984,0.787116929485272,0.11018911617136236,0.3461538461538461,0.8127501853224608,0.8095309908007842,0.3597992242756104,0.8225064673756823
