,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 1),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 1),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
2LLY'1' (Label: 1),0.6080193530733556,0.8212339071093383,0.26481868885815213,0.6558784877273403,0.6151311292505715,0.4530663804808904,0.36932987390663474,0.6121738433096827,0.48977957228416347,0.6578403172254244,0.0,0.6406798891600878,0.8212339071093383,0.4457663951853087,0.4372389559385142,0.46271573144690853,0.28320927212754593,0.44476646482574245,0.605531544810307,0.6038699127361189,0.24253935774900687,0.46271573144690853,0.4334195842495098,0.5780905248041346,0.5185691122334818,0.44476646482574245,0.5738907260306517,0.7571226788696395,0.44890702341661265,0.28320927212754593,0.2793655733749216,0.6558784877273403,0.6151311292505715,0.5283230071759317,0.5480843823295763,0.28320927212754593,0.44476646482574245,0.4649094587733604,0.2793655733749216,0.46271573144690853,0.4469656724810492,0.4183783483149933,0.2949656704425268,0.46271573144690853,0.7106059179759313,0.3190301622429133,0.2793655733749216,0.4471843406599458,0.6377388977113383,0.5972442177748334,0.2949656704425268,0.5693304357585518,0.44992332693535614,0.6558784877273403,0.6080193530733556,0.2793655733749216
2N2A'1' (Label: 0),0.6759593648825266,0.4173681792277041,0.5048212491865849,0.7241686071239148,0.6800985869339767,0.836032639132104,0.30801058047237273,0.41966894544769884,0.6307516292902856,0.7253699985118219,0.7070586797585651,0.0,0.4173681792277041,0.4029890338985958,0.49032779782957037,0.33352981888940236,0.5524433236008065,0.45039025893663676,0.3250624107469901,0.32476177881615537,0.5366332398506279,0.33352981888940236,0.37297711113020016,0.6567135440819969,0.7392736247973698,0.45039025893663676,0.5982415114975153,0.25589734380324664,0.8421870675275238,0.5524433236008065,0.49650365105473804,0.7241686071239148,0.6800985869339767,0.7503071812605061,0.7607683094040246,0.5524433236008065,0.45039025893663676,0.33244928010791935,0.49650365105473804,0.33352981888940236,0.3802714688487219,0.30041103641359457,0.5131223490368112,0.33352981888940236,0.7842295203793102,0.415951960543348,0.49650365105473804,0.3800513839646512,0.004889214295566385,0.35102170981452446,0.5131223490368112,0.5978941443729844,0.8423366286873097,0.7241686071239148,0.6759593648825266,0.49650365105473804
3PP0'1' (Label: 0),0.7657359928541394,0.0,0.8035951449293444,0.7593841790840498,0.7659146644468018,0.8978118205604512,0.684623502517997,0.5981907823450358,0.6968550690642723,0.7594113616498458,0.8851531861535796,0.4076209842105215,0.0,0.6515913061763124,0.7145635000701648,0.6276973882395404,0.7308250344300313,0.6081493314379104,0.522369636400326,0.5240816585081485,0.6629975222630006,0.6276973882395404,0.7277247656731022,0.7607097352265048,0.6117779655600768,0.6081493314379104,0.5590497574187365,0.5257797920215802,0.8834704824953045,0.7308250344300313,0.8111335369476033,0.7593841790840498,0.7659146644468018,0.6305683471722097,0.5759279424722054,0.7308250344300313,0.6081493314379104,0.6231814929458599,0.8111335369476033,0.6276973882395404,0.7334622982762439,0.5095132276435087,0.8171372715710664,0.6276973882395404,0.6808170386203852,0.7223051747242252,0.8111335369476033,0.7331025623397387,0.4130252211354844,0.6273069583079782,0.8171372715710664,0.5679784166201522,0.8827188274212915,0.7593841790840498,0.7657359928541394,0.8111335369476033
3RCD'1' (Label: 0),0.6775152468914706,0.7683240576421144,0.5152000809750266,0.7262491467718223,0.6825977605533871,0.38444214523931963,0.23484003588971145,0.5826541554610508,0.19855521603458404,0.7276937112715202,0.5665366901562594,0.4640871865265873,0.7683240576421144,0.0,0.59748745154152,0.057135176036508216,0.2613789499737275,0.5222348374020105,0.6210368975378715,0.6194405791562607,0.4540320940581759,0.057135176036508216,0.21894045408003962,0.6934126558121521,0.8892038078896978,0.5222348374020105,0.7432352964699539,0.5918917405627293,0.4075467853607245,0.2613789499737275,0.48904154513101733,0.7262491467718223,0.6825977605533871,0.8938925396706672,0.8983380166314674,0.2613789499737275,0.5222348374020105,0.05662063280085886,0.48904154513101733,0.057135176036508216,0.22186066467800108,0.3292829030550866,0.4641357332374161,0.057135176036508216,0.9031284751919825,0.288978717252833,0.48904154513101733,0.22192882531561506,0.46092307300717533,0.6083781749495267,0.4641357332374161,0.7396244838088049,0.4081082594372706,0.7262491467718223,0.6775152468914706,0.48904154513101733
4CNR'1' (Label: 1),0.32991235288906484,0.7651122306899242,0.33684594934023104,0.368120898487227,0.3331057010405669,0.8218659187872049,0.47751837544286035,0.2540665969251549,0.6616751120975943,0.3690507265855764,0.5046086943784448,0.5127527867885532,0.7651122306899242,0.542555229159765,0.0,0.556544610282986,0.3458564446041153,0.5000001718633346,0.6633500273330415,0.6619319461559564,0.4899063508081379,0.556544610282986,0.5323646091308648,0.30706313909436644,0.7229087422787045,0.5000001718633346,0.5193811246446153,0.6374262542948338,0.8038638649804628,0.3458564446041153,0.35611792885863597,0.368120898487227,0.3331057010405669,0.7346348362063064,0.7457525727807326,0.3458564446041153,0.5000001718633346,0.5583552350554261,0.35611792885863597,0.556544610282986,0.5435450699175474,0.38530900011252533,0.3722532616571429,0.556544610282986,0.8200960129862154,0.45195941087043817,0.35611792885863597,0.5437255510909408,0.5096501614809335,0.4662834266615129,0.3722532616571429,0.5189655735075384,0.804543772371347,0.368120898487227,0.32991235288906484,0.35611792885863597
4CNV'1' (Label: 1),0.7060273635659708,0.7634985247665294,0.5564533331839968,0.755534338509199,0.7110881312550636,0.4504877410825592,0.20822864633025992,0.6080497689756225,0.2617644064746445,0.7569755946368697,0.6066297575107022,0.39621393593367693,0.7634985247665294,0.058937580002388745,0.6322277383500542,0.0,0.3225861190937504,0.5699267219903834,0.5649311056302907,0.5619169210323334,0.4950484417331745,0.0,0.22312400307104563,0.7225365149919163,0.9251298301360715,0.5699267219903834,0.7943031991971344,0.5283853741378285,0.47111339449310213,0.3225861190937504,0.5297272208894115,0.755534338509199,0.7110881312550636,0.9282982255312681,0.9313022424454173,0.3225861190937504,0.5699267219903834,0.006317264376286325,0.5297272208894115,0.0,0.2259441910309476,0.3248258894455689,0.5042400900615152,0.0,0.931618845893659,0.28277080051626646,0.5297272208894115,0.22601073730637342,0.3929640656418216,0.580532260854553,0.5042400900615152,0.7907365402878445,0.4716146258621714,0.755534338509199,0.7060273635659708,0.5297272208894115
4CNW'1' (Label: 1),0.5037832987549882,0.8297983609121038,0.33336736280547963,0.5488161860571492,0.5109745752019936,0.44866952221295614,0.2995786808179166,0.5051795708705905,0.304506070235064,0.5507901107074824,0.34659172495178225,0.6126100043544017,0.8297983609121038,0.25168690198379773,0.3667504993153409,0.30112509639538354,0.0,0.4557470741469568,0.7501725751923862,0.7491202191507035,0.3727957182183203,0.30112509639538354,0.25634714835236405,0.4726031957537416,0.8180492558373611,0.4557470741469568,0.6420909591279118,0.7308587770467193,0.46139426864216965,0.0,0.3349890594164591,0.5488161860571492,0.5109745752019936,0.8257491435363633,0.8330495556238291,0.0,0.4557470741469568,0.29961434428670775,0.3349890594164591,0.30112509639538354,0.2591451809869622,0.3240046871735808,0.3097951543760244,0.30112509639538354,0.8696400687096983,0.3382787104533798,0.3349890594164591,0.2596637237151287,0.6096335470527167,0.62856581897589,0.3097951543760244,0.6383926953770395,0.46190471092343877,0.5488161860571492,0.5037832987549882,0.3349890594164591
4CNX'1' (Label: 1),0.48617126124775534,0.4743331359781669,0.2775488800970847,0.5292346052794215,0.49045523323099854,0.5064468115759054,0.25237598437053976,0.43713570788519523,0.3478843763318343,0.5304580185207162,0.3739011750339339,0.34308317344969563,0.4743331359781669,0.3454378481984551,0.3642160406276616,0.36545538909977093,0.31306748420842057,0.0,0.5120223909231408,0.5099668672530977,0.15422663328706612,0.36545538909977093,0.3308559912162031,0.46700260122883536,0.49580730975865084,0.0,0.2583130366132213,0.47457774033311256,0.5249720709756516,0.31306748420842057,0.2923841360253304,0.5292346052794215,0.49045523323099854,0.5171440020640415,0.5373737327177878,0.31306748420842057,0.0,0.36804622961801897,0.2923841360253304,0.36545538909977093,0.34685422117723125,0.29950759998715815,0.31375973144300456,0.36545538909977093,0.597384040231915,0.29132486585078277,0.2923841360253304,0.34711247318140975,0.3422531694891293,0.3200986371509797,0.31375973144300456,0.257671761630497,0.5254222596668873,0.5292346052794215,0.48617126124775534,0.2923841360253304
4GFU'1' (Label: 0),0.8723123565945836,0.6151593943968073,0.6463738918086437,0.9258454968526205,0.8763018217244284,0.685713767581229,0.5894860569658533,0.5106553100851177,0.8637455333898144,0.9270241046375888,0.7685959167995335,0.3738640327052754,0.6151593943968073,0.6202374544499949,0.7295720225100647,0.5469496430238849,0.7780576229529077,0.7730818157515739,0.0,0.005393862195928971,0.8190985042513825,0.5469496430238849,0.6425741410728216,0.8572793928203246,0.42876981359328614,0.7730818157515739,0.9499283229116495,0.3621591097827255,0.6814453293556897,0.7780576229529077,0.6312725776159991,0.9258454968526205,0.8763018217244284,0.4546625318197539,0.4807581692358243,0.7780576229529077,0.7730818157515739,0.542763440121359,0.6312725776159991,0.5469496430238849,0.650347497692897,0.5370163169554908,0.6426604889099975,0.5469496430238849,0.4910343093237772,0.6487073478953006,0.6312725776159991,0.6500206251471606,0.37307291987073793,0.49066368940683575,0.6426604889099975,0.949885030100201,0.6809852990555424,0.9258454968526205,0.8723123565945836,0.6312725776159991
4JJQ'1' (Label: 0),0.8685260261185422,0.6145866839336424,0.6408955736655948,0.9219565041398798,0.8725183790536164,0.6810192692926884,0.5833590660652689,0.5058196274449667,0.8592526458045693,0.923135551267531,0.7632716680491312,0.3719514837843155,0.6145866839336424,0.6160481914882577,0.724958608494263,0.5417493701735282,0.7737070383755141,0.7667484649822043,0.0053712367637372095,0.0,0.8136516463772127,0.5417493701735282,0.6370903163527981,0.853411824626382,0.4272514106560796,0.7667484649822043,0.943146646297158,0.3596050992617284,0.6769270365918758,0.7737070383755141,0.6258696320605708,0.9219565041398798,0.8725183790536164,0.45320838546007414,0.4793649457792733,0.7737070383755141,0.7667484649822043,0.5381494379655307,0.6258696320605708,0.5417493701735282,0.6449947827453536,0.5324537901679091,0.6373347412301724,0.5417493701735282,0.49253418664676357,0.6442190596909331,0.6258696320605708,0.6446700269043758,0.3711579544746398,0.48477221825488365,0.6373347412301724,0.9430974899344154,0.6764712883227033,0.9219565041398798,0.8685260261185422,0.6258696320605708
