,1MFG'1' (Label: 0),1MFL'1' (Label: 0),1MW4'1' (Label: 0),1NB8'1' (Label: 0),1V9E'1' (Label: 1),1V9I'1' (Label: 1),1YY6'1' (Label: 0),1YZE'1' (Label: 0),2A91'1' (Label: 0),2L4K'1' (Label: 0),2LLY'1' (Label: 0),2N2A'1' (Label: 0),3PP0'1' (Label: 0),3RCD'1' (Label: 0),4CNR'1' (Label: 1),4CNV'1' (Label: 1),4CNW'1' (Label: 1),4CNX'1' (Label: 1),4GFU'1' (Label: 0),4JJQ'1' (Label: 0),4KG9'1' (Label: 0),4M5W'1' (Label: 0),4NND'1' (Label: 0),4PYZ'1' (Label: 0),4WPH'1' (Label: 0),5A25'1' (Label: 1),5EZT'1' (Label: 1),5FWI'1' (Label: 0),5KXY'1' (Label: 1),5KYB'1' (Label: 0),5N9R'1' (Label: 0),5N9T'1' (Label: 0),5OB4'1' (Label: 0),5TQS'1' (Label: 0),5UQV'1' (Label: 0),5UQX'1' (Label: 0),5VS6'1' (Label: 0),5WHC'1' (Label: 0),6EOQ'1' (Label: 1),6F5H'1' (Label: 0),6M1K'1' (Label: 0),6QVZ'1' (Label: 1),6QZV'1' (Label: 1),6VN2'1' (Label: 0),6VN3'1' (Label: 0),6VN4'1' (Label: 0),6VN5'1' (Label: 0),6VN6'1' (Label: 0),7A3F'1' (Label: 1),7CM2'1' (Label: 0),7SVL'1' (Label: 1),7VIJ'1' (Label: 0),7XHH'1' (Label: 0),7XHK'1' (Label: 0),7XPY'1' (Label: 0),8D4Z'1' (Label: 0)
2LLY'1' (Label: 0),0.2248808374026946,0.2248808374026946,0.3917417528976412,0.629336899589348,0.33837438438186435,0.3381851966553112,0.5506052423981183,0.5506052423981183,0.680536572881696,0.3917417528976412,0.0,0.5966799005822309,0.5534795758977484,0.5534795758977484,0.33806084228306577,0.3375854989826647,0.3375854989826647,0.3375854989826647,0.5465595042566327,0.5294520886978605,0.7524668791280328,0.6289843172062592,0.5464925056245181,0.7417309428693049,0.7400460919223856,0.3382947691883369,0.338529691633165,0.800156758477701,0.7873815949175722,0.6292056750015093,0.6289843172062592,0.6289978467468763,0.19629925134990625,0.5941670373098971,0.6288698614505659,0.6288698614505659,0.629336899589348,0.6294043566466346,0.8269451215808856,0.6289978467468763,0.629336899589348,0.2914606635492877,0.8274080570022825,0.6289843172062592,0.6354143684219071,0.6289843172062592,0.6289843172062592,0.6289843172062592,0.8274080570022825,0.628912214916268,0.8269451215808856,0.7818165849947583,0.6289978467468763,0.6289978467468763,0.7826223305165788,0.6289843172062592
2N2A'1' (Label: 0),0.4100152701256152,0.4100152701256152,0.7234970464055991,0.49550126008830153,0.6679903683590539,0.6676052645101082,0.32185655180796,0.32185655180796,0.9966133744947255,0.7234970464055991,0.7164557148432036,0.0,0.3427101849575566,0.3427101849575566,0.6673540675825834,0.655757280583825,0.655757280583825,0.655757280583825,0.7990658061634911,0.3433507722748439,0.5446928834666362,0.5002478986060365,0.7993812723071154,0.985921477759058,1.0,0.6678273506856558,0.6683088729639122,0.6748449320035745,0.5350189081675374,0.4940268999018139,0.5002478986060365,0.5006192120190244,0.39650197959669015,0.7749653652876676,0.489725629193858,0.489725629193858,0.49550126008830153,0.4777961444488372,0.7006211132090784,0.5006192120190244,0.49550126008830153,0.9819387836649884,0.7002784753415051,0.5002478986060365,0.5092249666211112,0.5002478986060365,0.5002478986060365,0.5002478986060365,0.7002784753415051,0.49050937668977534,0.7006211132090784,1.0,0.5006192120190244,0.5006192120190244,1.0,0.5002478986060365
3PP0'1' (Label: 0),0.5974247467964573,0.5974247467964573,0.3371688155444935,0.2884723582350512,0.4297102567025317,0.4299840816864927,0.08747709307677837,0.08747709307677837,0.7050010455966358,0.3371688155444935,0.539091860741482,0.2779970863936878,0.0,0.0,0.4300785263632887,0.4346997759417135,0.4346997759417135,0.4346997759417135,0.5156062487954803,0.048191047506208035,0.30542368634664807,0.2879158377440031,0.515471522962942,0.7844382656150429,0.7804083225104974,0.4298677557051775,0.42938081406195266,0.4730572007673955,0.3296937738468338,0.2881033244906583,0.2879158377440031,0.2880472519835102,0.6183170153431509,0.5948014633505445,0.28705085503313865,0.28705085503313865,0.2884723582350512,0.27541896497461754,0.4523619353112938,0.2880472519835102,0.2884723582350512,0.7281559264297217,0.44717294905931787,0.2879158377440031,0.29490173941373354,0.2879158377440031,0.2879158377440031,0.2879158377440031,0.44717294905931787,0.28708469571897,0.4523619353112938,0.8128618407348913,0.2880472519835102,0.2880472519835102,0.8093786640686577,0.2879158377440031
3RCD'1' (Label: 0),0.5974247467964573,0.5974247467964573,0.3371688155444935,0.2884723582350512,0.4297102567025317,0.4299840816864927,0.08747709307677837,0.08747709307677837,0.7050010455966358,0.3371688155444935,0.539091860741482,0.2779970863936878,0.0,0.0,0.4300785263632887,0.4346997759417135,0.4346997759417135,0.4346997759417135,0.5156062487954803,0.048191047506208035,0.30542368634664807,0.2879158377440031,0.515471522962942,0.7844382656150429,0.7804083225104974,0.4298677557051775,0.42938081406195266,0.4730572007673955,0.3296937738468338,0.2881033244906583,0.2879158377440031,0.2880472519835102,0.6183170153431509,0.5948014633505445,0.28705085503313865,0.28705085503313865,0.2884723582350512,0.27541896497461754,0.4523619353112938,0.2880472519835102,0.2884723582350512,0.7281559264297217,0.44717294905931787,0.2879158377440031,0.29490173941373354,0.2879158377440031,0.2879158377440031,0.2879158377440031,0.44717294905931787,0.28708469571897,0.4523619353112938,0.8128618407348913,0.2880472519835102,0.2880472519835102,0.8093786640686577,0.2879158377440031
4CNR'1' (Label: 1),0.4117694460674082,0.4117694460674082,0.0833759918543778,0.4199817889180416,0.0019766080859539305,0.0006509564367213679,0.3132868136378065,0.3132868136378065,0.3726262215534567,0.0833759918543778,0.2560893313234343,0.421022190368698,0.33449004777784264,0.33449004777784264,0.0,0.00012878201021983038,0.00012878201021983038,0.00012878201021983038,0.3167632215986352,0.31189391470113853,0.5316383326492847,0.4218732293689585,0.3170993477928928,0.5041394072916726,0.5076316464572852,0.0013098382034143156,0.0033345055718813385,0.6053529968601055,0.5305801664431313,0.419425509243955,0.4218732293689585,0.4220198004431112,0.3930756062640072,0.4201668309599426,0.41720223585799876,0.41720223585799876,0.4199817889180416,0.4201457406568213,0.6267254053074593,0.4220198004431112,0.4199817889180416,0.5167229631479119,0.626781778742408,0.4218732293689585,0.43067423143734423,0.4218732293689585,0.4218732293689585,0.4218732293689585,0.626781778742408,0.4177794867033431,0.6267254053074593,0.5941825135485131,0.4220198004431112,0.4220198004431112,0.5957601399262809,0.4218732293689585
4CNV'1' (Label: 1),0.4117694460674082,0.4117694460674082,0.0851753318311323,0.4209400259247386,0.002194482769564739,0.0008092090040446693,0.31147386494124085,0.31147386494124085,0.37263725594286745,0.0851753318311323,0.2560893313234343,0.4142885032322966,0.3385602322356782,0.3385602322356782,0.00012896334403284432,0.0,0.0,0.0,0.313654892289172,0.3097731501204178,0.5294326716062184,0.423014996171803,0.3140749589728622,0.5037509370241423,0.5086032670571508,0.0014977303708803038,0.003613437970744045,0.6062413236892505,0.5312016537748241,0.42035077887644245,0.423014996171803,0.42317097834723805,0.3930756062640072,0.4191689831804741,0.41791708540695904,0.41791708540695904,0.4209400259247386,0.42111239516080656,0.6276148767646432,0.42317097834723805,0.4209400259247386,0.5167229631479119,0.6276643300375211,0.423014996171803,0.43166279178148365,0.423014996171803,0.423014996171803,0.423014996171803,0.6276643300375211,0.4185420510578442,0.6276148767646432,0.5948925030119717,0.42317097834723805,0.42317097834723805,0.5964540874964535,0.423014996171803
4CNW'1' (Label: 1),0.4117694460674082,0.4117694460674082,0.0851753318311323,0.4209400259247386,0.002194482769564739,0.0008092090040446693,0.31147386494124085,0.31147386494124085,0.37263725594286745,0.0851753318311323,0.2560893313234343,0.4142885032322966,0.3385602322356782,0.3385602322356782,0.00012896334403284432,0.0,0.0,0.0,0.313654892289172,0.3097731501204178,0.5294326716062184,0.423014996171803,0.3140749589728622,0.5037509370241423,0.5086032670571508,0.0014977303708803038,0.003613437970744045,0.6062413236892505,0.5312016537748241,0.42035077887644245,0.423014996171803,0.42317097834723805,0.3930756062640072,0.4191689831804741,0.41791708540695904,0.41791708540695904,0.4209400259247386,0.42111239516080656,0.6276148767646432,0.42317097834723805,0.4209400259247386,0.5167229631479119,0.6276643300375211,0.423014996171803,0.43166279178148365,0.423014996171803,0.423014996171803,0.423014996171803,0.6276643300375211,0.4185420510578442,0.6276148767646432,0.5948925030119717,0.42317097834723805,0.42317097834723805,0.5964540874964535,0.423014996171803
4CNX'1' (Label: 1),0.4117694460674082,0.4117694460674082,0.0851753318311323,0.4209400259247386,0.002194482769564739,0.0008092090040446693,0.31147386494124085,0.31147386494124085,0.37263725594286745,0.0851753318311323,0.2560893313234343,0.4142885032322966,0.3385602322356782,0.3385602322356782,0.00012896334403284432,0.0,0.0,0.0,0.313654892289172,0.3097731501204178,0.5294326716062184,0.423014996171803,0.3140749589728622,0.5037509370241423,0.5086032670571508,0.0014977303708803038,0.003613437970744045,0.6062413236892505,0.5312016537748241,0.42035077887644245,0.423014996171803,0.42317097834723805,0.3930756062640072,0.4191689831804741,0.41791708540695904,0.41791708540695904,0.4209400259247386,0.42111239516080656,0.6276148767646432,0.42317097834723805,0.4209400259247386,0.5167229631479119,0.6276643300375211,0.423014996171803,0.43166279178148365,0.423014996171803,0.423014996171803,0.423014996171803,0.6276643300375211,0.4185420510578442,0.6276148767646432,0.5948925030119717,0.42317097834723805,0.42317097834723805,0.5964540874964535,0.423014996171803
4GFU'1' (Label: 0),0.5952999846471483,0.5952999846471483,0.3414707869704306,0.6433699225132042,0.4071000224316483,0.4072701074743939,0.5452462972515445,0.5452462972515445,0.6557388760002684,0.3414707869704306,0.5321629560167636,0.6479504462302271,0.51542346459198,0.51542346459198,0.4071414541743365,0.4025794035923862,0.4025794035923862,0.4025794035923862,0.0,0.5111438259940346,0.763921132188473,0.6418969741370079,0.001137194698483,0.7538561520522062,0.7378124787353825,0.4072042963531169,0.40687943430677986,0.7964033538594024,0.7603603545684411,0.6441084315099689,0.6418969741370079,0.6417191525715467,0.6124856001036758,0.2402141908690646,0.6465660103110533,0.6465660103110533,0.6433699225132042,0.6432052493229047,0.41351143191976697,0.6417191525715467,0.6433699225132042,0.7295016568572071,0.4125305181631555,0.6418969741370079,0.6467094233984986,0.6418969741370079,0.6418969741370079,0.6418969741370079,0.4125305181631555,0.6459742700775049,0.41351143191976697,0.4327185023487178,0.6417191525715467,0.6417191525715467,0.428917004094882,0.6418969741370079
4JJQ'1' (Label: 0),0.6023664574957561,0.6023664574957561,0.3426246345671982,0.2904709629624168,0.39204372627113687,0.39245797712790687,0.056623770236174834,0.056623770236174834,0.6809477512434268,0.3426246345671982,0.5048869884363762,0.2726827082126293,0.04718160426852565,0.04718160426852565,0.3926248622472383,0.38940684546696985,0.38940684546696985,0.38940684546696985,0.5006145210767133,0.0,0.2650642636583751,0.28979318164270546,0.500034603734864,0.7640243197997174,0.7536943304137886,0.39227013416046935,0.3915747054175288,0.4708356651229095,0.3057596110846948,0.2902505410924127,0.28979318164270546,0.28987848434292984,0.604401203713949,0.6046691142064938,0.28945593934495845,0.28945593934495845,0.2904709629624168,0.27637427765175604,0.4529661130028321,0.28987848434292984,0.2904709629624168,0.7331545165730097,0.4505208205731448,0.28979318164270546,0.3009379371816225,0.28979318164270546,0.28979318164270546,0.28979318164270546,0.4505208205731448,0.28962050228202896,0.4529661130028321,0.7958350706030705,0.28987848434292984,0.28987848434292984,0.7940575992619663,0.28979318164270546
4KG9'1' (Label: 0),0.7832958847609961,0.7832958847609961,0.6538262605129206,0.46702760435276947,0.6555148317687046,0.6559010601255401,0.24305893729274045,0.24305893729274045,0.9673435509664214,0.6538262605129206,0.7033819255065341,0.4240407307828599,0.293119934461201,0.293119934461201,0.6560296767445007,0.652389332440612,0.652389332440612,0.652389332440612,0.7334071683466749,0.2598289166406984,0.0,0.46627962897367176,0.7330719507794863,0.5207922896224197,0.5123170737799869,0.655739254441872,0.6550445309699539,0.6403477064008045,0.5154969380581529,0.4671615286404136,0.46627962897367176,0.46627560869935564,0.7649928571025058,0.4173481854036018,0.46704194302060903,0.46704194302060903,0.46702760435276947,0.45071310751494476,0.6524689630384538,0.46627560869935564,0.46702760435276947,0.9598893589189348,0.6495481013434489,0.46627962897367176,0.4876796554617811,0.46627962897367176,0.46627962897367176,0.46627962897367176,0.6495481013434489,0.4671846402782165,0.6524689630384538,0.6079933278158169,0.46627560869935564,0.46627560869935564,0.6061455707708644,0.46627962897367176
4M5W'1' (Label: 0),0.8014159600172368,0.8014159600172368,0.6925829295180664,0.0019955078682390485,0.6510272211750746,0.6516131939571956,0.3591916234987394,0.3591916234987394,0.9889805749005858,0.6925829295180664,0.7361997460029313,0.4876330991818856,0.34598735456545177,0.34598735456545177,0.6518402841486026,0.6526854133749984,0.6526854133749984,0.6526854133749984,0.7716386729410595,0.3556939649749884,0.5838462199634157,0.0,0.7718705433101027,0.9850362351752824,0.97501059806103,0.6513519177400576,0.6503527941541098,0.21327061560032343,0.5739348241917925,0.0020630075405693523,0.0,0.0005131103275989612,0.7794813581839927,0.8028829973253333,0.01025025047985467,0.01025025047985467,0.0019955078682390485,0.008961969199756665,0.6212466003739586,0.0005131103275989612,0.0019955078682390485,0.9913861013117784,0.621467015293346,0.0,0.019140453853827025,0.0,0.0,0.0,0.621467015293346,0.008447738826348732,0.6212466003739586,0.9768129468206944,0.0005131103275989612,0.0005131103275989612,0.9731991585687584,0.0
